PlantName,PlantKey,Technology,City,State,ZipCode,Capacity_MW,Lat,Long,2023_CO2_Emissions,2023_NOX_Emissions,2023_SO2_Emissions,2023_CO2_Rate,2023_NOX_Rate,2023_SO2_Rate,FuelType,HeatRate_MBTU,2023_Net_Generation_Mwh
(3K) 59 Hetcheltown Road Solar Project,122263,Solar,Schenectady,NY,12302,5.0,42.870990,(73.904610),NA,NA,NA,NA,NA,NA,Solar,NA,NA
0 Hammond Street  Battery Storage,107643,Battery,Carver,MA,02330,5.0,41.804520,(70.722980),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
0 Hammond Street Solar Project,74309,Solar,Carver,MA,02330,4.8,41.804520,(70.722980),NA,NA,NA,NA,NA,NA,Solar,NA,NA
10 Briggs Solar NG Project,26688,Solar,East Greenwich,RI,02818,5.0,41.632820,(71.496150),NA,NA,NA,NA,NA,NA,Solar,NA,NA
100 Brook Hill Drive Solar Plant,57559,Solar,West Nyack,NY,10994,1.5,41.092230,(73.982940),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1001 Ebenezer Church Solar Project,55820,Solar,Elkin,NC,28621,5.0,36.282750,(80.842860),NA,NA,NA,NA,NA,NA,Solar,NA,NA
101 Carnegie Center Solar Project,58961,Solar,Princeton,NJ,08540,1.2,40.323120,(74.645120),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1045 Tomlin Mill Solar,22602,Solar,Statesville,NC,28625,4.9,35.923040,(80.839780),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1051 Lucky Solar Project,62108,Solar,Hamptonville,NC,27020,3.0,36.149620,(80.818240),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1073 Onslow Solar Plant,57833,Solar,Hubert,NC,28539,4.7,34.773360,(77.185820),NA,NA,NA,NA,NA,NA,Solar,NA,NA
115 G Fisher Solar Plant,97040,Solar,Middleboro,MA,02346,1.0,41.868980,(70.839500),NA,NA,NA,NA,NA,NA,Solar,NA,NA
12 Applegate Solar Farm,17895,Solar,Robbinsville,NJ,08691-2342,1.9,40.200340,(74.576590),NA,NA,NA,NA,NA,NA,Solar,NA,NA
126 Grove Solar Project,23765,Solar,Franklin,MA,02038,2.0,42.075170,(71.420140),NA,NA,NA,NA,NA,NA,Solar,NA,NA
13 Mile Solar Project,73963,Solar,Battle Creek,MI,,2.0,42.246528,(85.005554),NA,NA,NA,NA,NA,NA,Solar,NA,NA
13 York Farm Road Solar Project,122387,Solar,Augusta,ME,04330,1.0,44.329120,(69.819250),NA,NA,NA,NA,NA,NA,Solar,NA,NA
145 Talmadge Solar,16051,Solar,Edison,NJ,08817,3.8,40.534510,(74.393272),NA,NA,NA,NA,NA,NA,Solar,NA,NA
147 Williamsville Road Facility (Williamsville Hybrid),55955,Solar,Hubbardston,MA,01452,5.0,42.469100,(72.068690),NA,NA,NA,NA,NA,NA,Solar,NA,NA
147 Williamsville Road Facility (Williamsville Hybrid) Battery Storage Plant,107374,Battery,Hubbardston,MA,01452,3.3,42.469100,(72.068690),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
14A Solar Farm,68627,Solar,Penn Yan,NY,14527,5.0,42.741200,(77.075560),NA,NA,NA,NA,NA,NA,Solar,NA,NA
150 Mile House ERG Project,9294,Steam Turbine,150 Mile House,,,5.0,52.106943,(121.924236),NA,NA,NA,NA,NA,NA,Other,NA,NA
154 D Fisher Solar Project,97043,Solar,Middleboro,MA,02346,1.0,41.872810,(70.843770),NA,NA,NA,NA,NA,NA,Solar,NA,NA
160 Tihonet Road Battery Storage Project,107656,Battery,Wareham,MA,02571,3.3,41.800300,(70.704030),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
160 Tihonet Road Solar Project,74425,Solar,Wareham,MA,02571,5.0,41.800300,(70.704030),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1634 Solar Project,24951,Solar,Hartsville,SC,29550,2.0,34.337700,(80.081610),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1639 RT 29 Solar 2 Project,99913,Solar,Johnstown,NY,12095,2.5,43.040800,(74.244630),NA,NA,NA,NA,NA,NA,Solar,NA,NA
1639 RT 29 System B Solar Project,99915,Solar,Gloversville,NY,12095,4.0,43.042530,(74.250630),NA,NA,NA,NA,NA,NA,Solar,NA,NA
180 Raritan Solar,18619,Solar,Edison,NJ,08837,1.9,40.515283,(74.338020),NA,NA,NA,NA,NA,NA,Solar,NA,NA
191 Peachtree Tower,1254,Internal Combustion,Atlanta,GA,30303,2.4,33.758890,(84.386905),NA,NA,NA,NA,NA,NA,Oil,NA,NA
196 Tremont Battery Storage Project,107664,Battery,Carver,MA,02330-1600,1.5,41.848770,(70.727910),NA,NA,NA,NA,NA,NA,Energy Storage,NA,NA
196 Tremont Project,74628,Solar,Carver,MA,02330-1600,1.5,41.848770,(70.727910),NA,NA,NA,NA,NA,NA,Solar,NA,NA
19th Hole Solar Project,68808,Solar,Johnstown,NY,12095,7.7,42.986970,(74.311530),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20003 Hardin Solar Generating Facility (Panda Solar NC 2),25233,Solar,Fairmont,NC,28340,2.0,34.438840,(79.084500),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20007 Hair Solar Generating Facility (Panda Solar NC 5),25307,Solar,Fayetteville,NC,28312,1.0,35.046700,(78.810540),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20009 Priest Solar Generating Facility (Panda Solar NC 4),25302,Solar,Council,NC,28434,2.0,34.518070,(78.524180),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20011 Hardin Solar Generating Facility (Panda Solar NC 3),25306,Solar,Lumberton,NC,28360,2.0,34.631810,(79.090670),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20022 Barker Solar Generating Facility (Panda Solar NC 9 Project),24776,Solar,Hope Mills,NC,28348,2.0,34.910580,(78.915660),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20028 Goins Solar Generating Facility (Panda Solar NC 6),25303,Solar,Chadbourn,NC,28431,1.0,34.352760,(78.788340),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20031 Barker Solar Generating Facility (Panda Solar NC 10 Project),24836,Solar,Hope Mills,NC,28348,2.0,34.909980,(78.912780),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20032 Barker Solar Generating Facility (Panda Solar NC 11 Project),24834,Solar,Hope Mills,NC,28348,2.0,34.909250,(78.912750),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20038 Elaine Jordan Solar Generating Facility (Panda Solar NC 7),25304,Solar,Faison,NC,28341,1.5,35.121580,(78.204290),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20052 Dabestani Solar Generating Facility (Panda Solar NC 8),25353,Solar,Robbins,NC,27325-7806,2.0,35.420970,(79.705330),NA,NA,NA,NA,NA,NA,Solar,NA,NA
200th Red Horse Squadron- Camp Perry,13401,Solar,Port Clinton,OH,43452,0.2,41.531610,(83.019460),NA,NA,NA,NA,NA,NA,Solar,NA,NA
201 Sturbridge B,21560,Solar,Brimfield,MA,01010,2.0,42.120970,(72.171880),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20333 Normandie Solar Project,78605,Solar,Torrance,CA,90501,2.6,33.846590,(118.299620),NA,NA,NA,NA,NA,NA,Solar,NA,NA
205 Sturbridge A Solar,21559,Solar,Brimfield,MA,01010,3.0,42.119040,(72.168010),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2056 Jardine Solar Plant,21375,Solar,Paso Robles,CA,93446-8713,1.0,35.650200,(120.719520),NA,NA,NA,NA,NA,NA,Solar,NA,NA
20701 Plummer PV Solar Project,110169,Solar,Chatsworth,CA,91311,1.9,34.243490,(118.585200),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2081 Terzian Solar Project,19251,Solar,Reedley,CA,93654,1.2,36.670930,(119.414220),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2097 Helton Solar Project,19383,Solar,Merced,CA,95348-9214,1.5,37.351420,(120.507480),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2102 Christensen Solar Plant,21370,Solar,Del Rey,CA,93616-9734,1.0,36.652770,(119.572750),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2127 Harris Solar Project,19222,Solar,Live Oak,CA,95953,1.3,39.291730,(121.669310),NA,NA,NA,NA,NA,NA,Solar,NA,NA
2176047 (Brockville 1) Solar Energy Project,16583,Solar,Brockville,,,10.0,44.631562,(75.696898),NA,NA,NA,NA,NA,NA,Solar,NA,NA
